Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,11,Sergio Perez PER,Red Bull Racing Honda,50,17:00:26,1:28.617,239.317,Great Britain
2,44,Lewis Hamilton HAM,Mercedes,45,16:51:11,1:29.699,236.430,Great Britain
3,10,Pierre Gasly GAS,AlphaTauri Honda,52,17:03:11,1:30.266,234.945,Great Britain
4,77,Valtteri Bottas BOT,Mercedes,45,16:51:16,1:30.524,234.275,Great Britain
5,16,Charles Leclerc LEC,Ferrari,45,16:51:07,1:30.569,234.159,Great Britain
6,22,Yuki Tsunoda TSU,AlphaTauri Honda,51,17:01:36,1:30.826,233.497,Great Britain
7,55,Carlos Sainz SAI,Ferrari,51,17:00:57,1:31.223,232.480,Great Britain
8,3,Daniel Ricciardo RIC,McLaren Mercedes,51,17:00:57,1:31.284,232.325,Great Britain
9,4,Lando Norris NOR,McLaren Mercedes,44,16:49:57,1:31.420,231.979,Great Britain
10,14,Fernando Alonso ALO,Alpine Renault,48,16:56:47,1:31.698,231.276,Great Britain
11,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,48,16:57:16,1:31.895,230.780,Great Britain
12,18,Lance Stroll STR,Aston Martin Mercedes,48,16:56:49,1:31.992,230.537,Great Britain
13,63,George Russell RUS,Williams Mercedes,49,16:58:38,1:32.049,230.394,Great Britain
14,31,Esteban Ocon OCO,Alpine Renault,48,16:56:51,1:32.210,229.992,Great Britain
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,49,16:58:41,1:32.346,229.653,Great Britain
16,6,Nicholas Latifi LAT,Williams Mercedes,51,17:01:52,1:32.477,229.328,Great Britain
17,47,Mick Schumacher MSC,Haas Ferrari,50,17:01:20,1:32.862,228.377,Great Britain
18,9,Nikita Mazepin MAZ,Haas Ferrari,51,17:02:52,1:32.909,228.262,Great Britain
19,5,Sebastian Vettel VET,Aston Martin Mercedes,35,16:37:02,1:33.059,227.894,Great Britain
