Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:27.035,,23,Great Britain
2,4,Lando Norris NOR,1:27.814,+0.779s,26,Great Britain
3,44,Lewis Hamilton HAM,1:27.815,+0.780s,30,Great Britain
4,16,Charles Leclerc LEC,1:27.828,+0.793s,26,Great Britain
5,77,Valtteri Bottas BOT,1:27.897,+0.862s,30,Great Britain
6,55,Carlos Sainz SAI,1:27.923,+0.888s,25,Great Britain
7,5,Sebastian Vettel VET,1:28.062,+1.027s,23,Great Britain
8,11,Sergio Perez PER,1:28.163,+1.128s,25,Great Britain
9,3,Daniel Ricciardo RIC,1:28.211,+1.176s,28,Great Britain
10,31,Esteban Ocon OCO,1:28.415,+1.380s,24,Great Britain
11,10,Pierre Gasly GAS,1:28.449,+1.414s,28,Great Britain
12,22,Yuki Tsunoda TSU,1:28.600,+1.565s,29,Great Britain
13,99,Antonio Giovinazzi GIO,1:28.827,+1.792s,26,Great Britain
14,14,Fernando Alonso ALO,1:28.873,+1.838s,24,Great Britain
15,7,Kimi Räikkönen RAI,1:29.220,+2.185s,27,Great Britain
16,6,Nicholas Latifi LAT,1:29.227,+2.192s,27,Great Britain
17,47,Mick Schumacher MSC,1:29.227,+2.192s,24,Great Britain
18,18,Lance Stroll STR,1:29.597,+2.562s,21,Great Britain
19,9,Nikita Mazepin MAZ,1:29.808,+2.773s,23,Great Britain
20,63,George Russell RUS,1:29.857,+2.822s,29,Great Britain
