Pos,No.,Driver,Car,Laps,Time,Pts,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,17,25:38.426,3,Great Britain
2,44,Lewis Hamilton HAM,Mercedes,17,+1.430s,2,Great Britain
3,77,Valtteri Bottas BOT,Mercedes,17,+7.502s,1,Great Britain
4,16,Charles Leclerc LEC,Ferrari,17,+11.278s,0,Great Britain
5,4,Lando Norris NOR,McLaren Mercedes,17,+24.111s,0,Great Britain
6,3,Daniel Ricciardo RIC,McLaren Mercedes,17,+30.959s,0,Great Britain
7,14,Fernando Alonso ALO,Alpine Renault,17,+43.527s,0,Great Britain
8,5,Sebastian Vettel VET,Aston Martin Mercedes,17,+44.439s,0,Great Britain
9,63,George Russell RUS,Williams Mercedes,17,+46.652s,0,Great Britain
10,31,Esteban Ocon OCO,Alpine Renault,17,+47.395s,0,Great Britain
11,55,Carlos Sainz SAI,Ferrari,17,+47.798s,0,Great Britain
12,10,Pierre Gasly GAS,AlphaTauri Honda,17,+48.763s,0,Great Britain
13,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,17,+50.677s,0,Great Britain
14,18,Lance Stroll STR,Aston Martin Mercedes,17,+52.179s,0,Great Britain
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,17,+53.225s,0,Great Britain
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,17,+53.567s,0,Great Britain
17,6,Nicholas Latifi LAT,Williams Mercedes,17,+55.162s,0,Great Britain
18,47,Mick Schumacher MSC,Haas Ferrari,17,+68.213s,0,Great Britain
19,9,Nikita Mazepin MAZ,Haas Ferrari,17,+77.648s,0,Great Britain
20,11,Sergio Perez PER,Red Bull Racing Honda,16,DNF,0,Great Britain
