Pos,No.,Driver,Car,Time,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,,Great Britain
2,44,Lewis Hamilton HAM,Mercedes,,Great Britain
3,77,Valtteri Bottas BOT,Mercedes,,Great Britain
4,16,Charles Leclerc LEC,Ferrari,,Great Britain
5,4,Lando Norris NOR,McLaren Mercedes,,Great Britain
6,3,Daniel Ricciardo RIC,McLaren Mercedes,,Great Britain
7,14,Fernando Alonso ALO,Alpine Renault,,Great Britain
8,5,Sebastian Vettel VET,Aston Martin Mercedes,,Great Britain
9,31,Esteban Ocon OCO,Alpine Renault,,Great Britain
10,55,Carlos Sainz SAI,Ferrari,,Great Britain
11,10,Pierre Gasly GAS,AlphaTauri Honda,,Great Britain
12,63,George Russell RUS,Williams Mercedes,,Great Britain
13,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,,Great Britain
14,18,Lance Stroll STR,Aston Martin Mercedes,,Great Britain
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,,Great Britain
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,,Great Britain
17,6,Nicholas Latifi LAT,Williams Mercedes,,Great Britain
18,47,Mick Schumacher MSC,Haas Ferrari,,Great Britain
19,9,Nikita Mazepin MAZ,Haas Ferrari,,Great Britain
20,11,Sergio Perez PER,Red Bull Racing Honda,,Great Britain
"Note - Russell penalised three grid places for causing a collision during sprint qualifying. Perez required to start from the pit lane, as car modified whilst under Parc Ferme conditions."
