Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,10,Pierre Gasly GAS,AlphaTauri Honda,70,17:08:59,1:18.394,201.183,Hungary
2,44,Lewis Hamilton HAM,Mercedes,49,16:39:39,1:18.715,200.363,Hungary
3,14,Fernando Alonso ALO,Alpine Renault,41,16:28:37,1:20.359,196.264,Hungary
4,33,Max Verstappen VER,Red Bull Racing Honda,43,16:32:12,1:20.945,194.843,Hungary
5,31,Esteban Ocon OCO,Alpine Renault,54,16:46:08,1:21.421,193.704,Hungary
6,55,Carlos Sainz SAI,Ferrari,54,16:46:15,1:21.423,193.699,Hungary
7,5,Sebastian Vettel VET,Aston Martin Mercedes,60,16:54:19,1:21.459,193.613,Hungary
8,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,58,16:53:08,1:21.518,193.473,Hungary
9,63,George Russell RUS,Williams Mercedes,62,16:58:15,1:22.112,192.074,Hungary
10,22,Yuki Tsunoda TSU,AlphaTauri Honda,43,16:31:33,1:22.450,191.286,Hungary
11,47,Mick Schumacher MSC,Haas Ferrari,44,16:33:45,1:22.711,190.683,Hungary
12,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,44,16:33:46,1:22.736,190.625,Hungary
13,3,Daniel Ricciardo RIC,McLaren Mercedes,58,16:52:47,1:22.802,190.473,Hungary
14,6,Nicholas Latifi LAT,Williams Mercedes,62,16:58:03,1:22.831,190.406,Hungary
