Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1,15:05:21,22.569,22.569,Hungary
1,9,Nikita Mazepin MAZ,Haas Ferrari,1,15:05:28,23.715,23.715,Hungary
1,4,Lando Norris NOR,McLaren Mercedes,1,15:05:33,38.267,38.267,Hungary
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1,15:05:53,26.573,26.573,Hungary
1,44,Lewis Hamilton HAM,Mercedes,2,15:07:57,24:09.259,24:09.259,Hungary
1,31,Esteban Ocon OCO,Alpine Renault,2,15:07:59,24:10.190,24:10.190,Hungary
1,5,Sebastian Vettel VET,Aston Martin Mercedes,2,15:08:02,24:11.890,24:11.890,Hungary
1,55,Carlos Sainz SAI,Ferrari,2,15:08:04,24:12.527,24:12.527,Hungary
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,2,15:08:08,24:13.630,24:13.630,Hungary
1,6,Nicholas Latifi LAT,Williams Mercedes,2,15:08:10,24:14.435,24:14.435,Hungary
1,14,Fernando Alonso ALO,Alpine Renault,2,15:08:13,24:14.979,24:14.979,Hungary
1,63,George Russell RUS,Williams Mercedes,2,15:08:17,24:17.487,24:17.487,Hungary
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,2,15:08:20,24:17.844,24:17.844,Hungary
1,47,Mick Schumacher MSC,Haas Ferrari,2,15:08:22,24:17.042,24:17.042,Hungary
1,10,Pierre Gasly GAS,AlphaTauri Honda,2,15:08:25,24:17.615,24:17.615,Hungary
1,3,Daniel Ricciardo RIC,McLaren Mercedes,2,15:08:28,24:17.127,24:17.127,Hungary
2,33,Max Verstappen VER,Red Bull Racing Honda,2,15:08:31,24:16.349,24:38.918,Hungary
2,9,Nikita Mazepin MAZ,Haas Ferrari,2,15:08:34,24:17.420,24:41.135,Hungary
2,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,2,15:08:38,24:16.349,24:42.922,Hungary
2,31,Esteban Ocon OCO,Alpine Renault,3,15:34:31,39.522,24:49.712,Hungary
2,5,Sebastian Vettel VET,Aston Martin Mercedes,3,15:34:31,40.882,24:52.772,Hungary
2,55,Carlos Sainz SAI,Ferrari,3,15:34:32,42.786,24:55.313,Hungary
2,22,Yuki Tsunoda TSU,AlphaTauri Honda,3,15:34:33,40.740,24:54.370,Hungary
2,6,Nicholas Latifi LAT,Williams Mercedes,3,15:34:34,39.081,24:53.516,Hungary
2,14,Fernando Alonso ALO,Alpine Renault,3,15:34:40,37.122,24:52.101,Hungary
2,63,George Russell RUS,Williams Mercedes,3,15:34:41,29.374,24:46.861,Hungary
2,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,3,15:34:41,35.451,24:53.295,Hungary
2,47,Mick Schumacher MSC,Haas Ferrari,3,15:34:42,36.813,24:53.855,Hungary
2,10,Pierre Gasly GAS,AlphaTauri Honda,3,15:34:43,39.839,24:57.454,Hungary
2,3,Daniel Ricciardo RIC,McLaren Mercedes,3,15:34:43,34.492,24:51.619,Hungary
3,33,Max Verstappen VER,Red Bull Racing Honda,3,15:34:44,35.245,25:14.163,Hungary
3,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,3,15:34:48,36.899,25:19.821,Hungary
2,44,Lewis Hamilton HAM,Mercedes,4,15:36:34,21.731,24:30.990,Hungary
4,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,11,15:46:53,29.191,25:49.012,Hungary
3,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,15,15:52:26,36.457,25:29.752,Hungary
3,44,Lewis Hamilton HAM,Mercedes,19,15:58:08,21.516,24:52.506,Hungary
3,3,Daniel Ricciardo RIC,McLaren Mercedes,20,15:59:29,21.623,25:13.242,Hungary
4,33,Max Verstappen VER,Red Bull Racing Honda,20,15:59:31,21.047,25:35.210,Hungary
3,63,George Russell RUS,Williams Mercedes,21,16:00:52,22.186,25:09.047,Hungary
3,22,Yuki Tsunoda TSU,AlphaTauri Honda,22,16:02:06,21.819,25:16.189,Hungary
3,6,Nicholas Latifi LAT,Williams Mercedes,23,16:03:29,22.704,25:16.220,Hungary
3,10,Pierre Gasly GAS,AlphaTauri Honda,30,16:13:24,21.295,25:18.749,Hungary
3,55,Carlos Sainz SAI,Ferrari,32,16:15:52,21.951,25:17.264,Hungary
5,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,33,16:18:12,21.874,26:10.886,Hungary
3,47,Mick Schumacher MSC,Haas Ferrari,34,16:19:34,22.113,25:15.968,Hungary
3,5,Sebastian Vettel VET,Aston Martin Mercedes,36,16:21:14,22.703,25:15.475,Hungary
3,31,Esteban Ocon OCO,Alpine Renault,37,16:22:34,21.642,25:11.354,Hungary
3,14,Fernando Alonso ALO,Alpine Renault,39,16:25:35,21.523,25:13.624,Hungary
5,33,Max Verstappen VER,Red Bull Racing Honda,40,16:27:50,20.848,25:56.058,Hungary
4,44,Lewis Hamilton HAM,Mercedes,47,16:36:41,21.208,25:13.714,Hungary
4,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,53,16:45:57,21.172,25:50.924,Hungary
4,10,Pierre Gasly GAS,AlphaTauri Honda,68,17:05:56,21.543,25:40.292,Hungary
