Pos,No.,Driver,Time,Gap,Laps,GP
1,44,Lewis Hamilton HAM,1:16.826,,20,Hungary
2,33,Max Verstappen VER,1:16.914,+0.088s,13,Hungary
3,77,Valtteri Bottas BOT,1:17.055,+0.229s,15,Hungary
4,55,Carlos Sainz SAI,1:17.497,+0.671s,20,Hungary
5,16,Charles Leclerc LEC,1:17.520,+0.694s,16,Hungary
6,4,Lando Norris NOR,1:17.772,+0.946s,12,Hungary
7,11,Sergio Perez PER,1:17.917,+1.091s,12,Hungary
8,3,Daniel Ricciardo RIC,1:17.942,+1.116s,15,Hungary
9,14,Fernando Alonso ALO,1:17.992,+1.166s,15,Hungary
10,18,Lance Stroll STR,1:18.050,+1.224s,16,Hungary
11,10,Pierre Gasly GAS,1:18.115,+1.289s,17,Hungary
12,31,Esteban Ocon OCO,1:18.174,+1.348s,15,Hungary
13,5,Sebastian Vettel VET,1:18.235,+1.409s,15,Hungary
14,22,Yuki Tsunoda TSU,1:18.461,+1.635s,25,Hungary
15,7,Kimi Räikkönen RAI,1:18.683,+1.857s,21,Hungary
16,63,George Russell RUS,1:18.794,+1.968s,14,Hungary
17,6,Nicholas Latifi LAT,1:18.821,+1.995s,15,Hungary
18,99,Antonio Giovinazzi GIO,1:19.113,+2.287s,14,Hungary
19,47,Mick Schumacher MSC,1:19.406,+2.580s,15,Hungary
20,9,Nikita Mazepin MAZ,1:19.933,+3.107s,16,Hungary
