Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,11,Sergio Perez PER,Red Bull Racing Honda,2,18:11:56,23.993,23.993,Bahrain
1,10,Pierre Gasly GAS,AlphaTauri Honda,4,18:16:14,38.338,38.338,Bahrain
1,14,Fernando Alonso ALO,Alpine Renault,11,18:27:32,24.373,24.373,Bahrain
1,4,Lando Norris NOR,McLaren Mercedes,12,18:29:05,24.899,24.899,Bahrain
1,16,Charles Leclerc LEC,Ferrari,12,18:29:06,24.925,24.925,Bahrain
1,18,Lance Stroll STR,Aston Martin Mercedes,12,18:29:09,24.884,24.884,Bahrain
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,12,18:29:14,31.998,31.998,Bahrain
1,44,Lewis Hamilton HAM,Mercedes,13,18:30:29,24.839,24.839,Bahrain
1,3,Daniel Ricciardo RIC,McLaren Mercedes,13,18:30:45,24.688,24.688,Bahrain
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,13,18:30:52,24.107,24.107,Bahrain
1,31,Esteban Ocon OCO,Alpine Renault,13,18:30:55,25.226,25.226,Bahrain
1,63,George Russell RUS,Williams Mercedes,13,18:31:02,24.621,24.621,Bahrain
1,6,Nicholas Latifi LAT,Williams Mercedes,14,18:32:44,26.046,26.046,Bahrain
1,47,Mick Schumacher MSC,Haas Ferrari,14,18:32:58,25.798,25.798,Bahrain
1,55,Carlos Sainz SAI,Ferrari,15,18:34:04,24.353,24.353,Bahrain
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,15,18:34:12,25.046,25.046,Bahrain
1,77,Valtteri Bottas BOT,Mercedes,16,18:35:24,24.262,24.262,Bahrain
1,33,Max Verstappen VER,Red Bull Racing Honda,17,18:36:54,24.767,24.767,Bahrain
2,11,Sergio Perez PER,Red Bull Racing Honda,19,18:40:35,24.105,48.098,Bahrain
2,10,Pierre Gasly GAS,AlphaTauri Honda,19,18:41:17,24.317,1:02.655,Bahrain
1,5,Sebastian Vettel VET,Aston Martin Mercedes,24,18:49:08,24.626,24.626,Bahrain
2,44,Lewis Hamilton HAM,Mercedes,28,18:54:40,24.076,48.915,Bahrain
2,18,Lance Stroll STR,Aston Martin Mercedes,28,18:55:23,25.525,50.409,Bahrain
2,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,29,18:57:06,24.046,48.153,Bahrain
2,14,Fernando Alonso ALO,Alpine Renault,29,18:57:13,24.775,49.148,Bahrain
2,77,Valtteri Bottas BOT,Mercedes,30,18:57:58,32.897,57.159,Bahrain
2,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,30,18:58:53,24.223,56.221,Bahrain
2,31,Esteban Ocon OCO,Alpine Renault,31,19:00:29,24.471,49.697,Bahrain
2,16,Charles Leclerc LEC,Ferrari,32,19:01:40,24.176,49.101,Bahrain
2,3,Daniel Ricciardo RIC,McLaren Mercedes,32,19:01:44,24.655,49.343,Bahrain
2,6,Nicholas Latifi LAT,Williams Mercedes,32,19:02:32,23.983,50.029,Bahrain
2,4,Lando Norris NOR,McLaren Mercedes,33,19:03:11,25.640,50.539,Bahrain
2,22,Yuki Tsunoda TSU,AlphaTauri Honda,33,19:03:36,24.328,49.374,Bahrain
2,47,Mick Schumacher MSC,Haas Ferrari,33,19:04:27,25.343,51.141,Bahrain
2,63,George Russell RUS,Williams Mercedes,36,19:08:48,24.248,48.869,Bahrain
2,55,Carlos Sainz SAI,Ferrari,37,19:09:53,24.341,48.694,Bahrain
3,11,Sergio Perez PER,Red Bull Racing Honda,38,19:11:20,24.191,1:12.289,Bahrain
2,33,Max Verstappen VER,Red Bull Racing Honda,39,19:12:13,23.848,48.615,Bahrain
3,10,Pierre Gasly GAS,AlphaTauri Honda,39,19:13:55,24.983,1:27.638,Bahrain
3,77,Valtteri Bottas BOT,Mercedes,54,19:36:21,24.566,1:21.725,Bahrain
