Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:30.847,,23,Bahrain
2,4,Lando Norris NOR,1:30.942,+0.095s,25,Bahrain
3,44,Lewis Hamilton HAM,1:31.082,+0.235s,24,Bahrain
4,55,Carlos Sainz SAI,1:31.127,+0.280s,26,Bahrain
5,77,Valtteri Bottas BOT,1:31.218,+0.371s,23,Bahrain
6,3,Daniel Ricciardo RIC,1:31.230,+0.383s,22,Bahrain
7,22,Yuki Tsunoda TSU,1:31.294,+0.447s,23,Bahrain
8,18,Lance Stroll STR,1:31.393,+0.546s,24,Bahrain
9,10,Pierre Gasly GAS,1:31.483,+0.636s,27,Bahrain
10,11,Sergio Perez PER,1:31.503,+0.656s,23,Bahrain
11,31,Esteban Ocon OCO,1:31.601,+0.754s,24,Bahrain
12,16,Charles Leclerc LEC,1:31.612,+0.765s,26,Bahrain
13,99,Antonio Giovinazzi GIO,1:31.740,+0.893s,27,Bahrain
14,5,Sebastian Vettel VET,1:31.769,+0.922s,26,Bahrain
15,14,Fernando Alonso ALO,1:31.770,+0.923s,24,Bahrain
16,7,Kimi Räikkönen RAI,1:31.862,+1.015s,15,Bahrain
17,63,George Russell RUS,1:32.331,+1.484s,28,Bahrain
18,47,Mick Schumacher MSC,1:33.297,+2.450s,24,Bahrain
19,6,Nicholas Latifi LAT,1:33.400,+2.553s,28,Bahrain
20,9,Nikita Mazepin MAZ,1:33.449,+2.602s,19,Bahrain
