Pos,No.,Driver,Car,Q1,Q2,Q3,Laps,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:30.499,1:30.318,1:28.997,15,Bahrain
2,44,Lewis Hamilton HAM,Mercedes,1:30.617,1:30.085,1:29.385,18,Bahrain
3,77,Valtteri Bottas BOT,Mercedes,1:31.200,1:30.186,1:29.586,17,Bahrain
4,16,Charles Leclerc LEC,Ferrari,1:30.691,1:30.010,1:29.678,15,Bahrain
5,10,Pierre Gasly GAS,AlphaTauri Honda,1:30.848,1:30.513,1:29.809,15,Bahrain
6,3,Daniel Ricciardo RIC,McLaren Mercedes,1:30.795,1:30.222,1:29.927,18,Bahrain
7,4,Lando Norris NOR,McLaren Mercedes,1:30.902,1:30.099,1:29.974,18,Bahrain
8,55,Carlos Sainz SAI,Ferrari,1:31.653,1:30.009,1:30.215,17,Bahrain
9,14,Fernando Alonso ALO,Alpine Renault,1:30.863,1:30.595,1:30.249,15,Bahrain
10,18,Lance Stroll STR,Aston Martin Mercedes,1:31.261,1:30.624,1:30.601,15,Bahrain
11,11,Sergio Perez PER,Red Bull Racing Honda,1:31.165,1:30.659,,11,Bahrain
12,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:30.998,1:30.708,,12,Bahrain
13,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:30.607,1:31.203,,9,Bahrain
14,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:31.547,1:31.238,,12,Bahrain
15,63,George Russell RUS,Williams Mercedes,1:31.316,1:33.430,,11,Bahrain
16,31,Esteban Ocon OCO,Alpine Renault,1:31.724,,,6,Bahrain
17,6,Nicholas Latifi LAT,Williams Mercedes,1:31.936,,,8,Bahrain
18,5,Sebastian Vettel VET,Aston Martin Mercedes,1:32.056,,,6,Bahrain
19,47,Mick Schumacher MSC,Haas Ferrari,1:32.449,,,6,Bahrain
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:33.273,,,7,Bahrain
