Pos,No.,Driver,Car,Time,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:28.997,Bahrain
2,44,Lewis Hamilton HAM,Mercedes,1:29.385,Bahrain
3,77,Valtteri Bottas BOT,Mercedes,1:29.586,Bahrain
4,16,Charles Leclerc LEC,Ferrari,1:29.678,Bahrain
5,10,Pierre Gasly GAS,AlphaTauri Honda,1:29.809,Bahrain
6,3,Daniel Ricciardo RIC,McLaren Mercedes,1:29.927,Bahrain
7,4,Lando Norris NOR,McLaren Mercedes,1:29.974,Bahrain
8,55,Carlos Sainz SAI,Ferrari,1:30.215,Bahrain
9,14,Fernando Alonso ALO,Alpine Renault,1:30.249,Bahrain
10,18,Lance Stroll STR,Aston Martin Mercedes,1:30.601,Bahrain
11,11,Sergio Perez PER,Red Bull Racing Honda,1:30.659,Bahrain
12,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:30.708,Bahrain
13,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:31.203,Bahrain
14,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:31.238,Bahrain
15,63,George Russell RUS,Williams Mercedes,1:33.430,Bahrain
16,31,Esteban Ocon OCO,Alpine Renault,1:31.724,Bahrain
17,6,Nicholas Latifi LAT,Williams Mercedes,1:31.936,Bahrain
18,47,Mick Schumacher MSC,Haas Ferrari,1:32.449,Bahrain
19,9,Nikita Mazepin MAZ,Haas Ferrari,1:33.273,Bahrain
20,5,Sebastian Vettel VET,Aston Martin Mercedes,1:32.056,Bahrain
Note - Vettel penalised five places for failing to respect double yellow flags during qualifying.
