Pos,No.,Driver,Time,Gap,Laps,GP
1,77,Valtteri Bottas BOT,1:16.564,,23,Emilia Romagna
2,44,Lewis Hamilton HAM,1:16.605,+0.041s,25,Emilia Romagna
3,33,Max Verstappen VER,1:16.622,+0.058s,21,Emilia Romagna
4,10,Pierre Gasly GAS,1:16.888,+0.324s,21,Emilia Romagna
5,55,Carlos Sainz SAI,1:16.888,+0.324s,26,Emilia Romagna
6,16,Charles Leclerc LEC,1:16.909,+0.345s,13,Emilia Romagna
7,14,Fernando Alonso ALO,1:17.457,+0.893s,23,Emilia Romagna
8,18,Lance Stroll STR,1:17.489,+0.925s,19,Emilia Romagna
9,6,Nicholas Latifi LAT,1:17.739,+1.175s,24,Emilia Romagna
10,3,Daniel Ricciardo RIC,1:17.769,+1.205s,23,Emilia Romagna
11,63,George Russell RUS,1:17.866,+1.302s,25,Emilia Romagna
12,7,Kimi Räikkönen RAI,1:17.883,+1.319s,16,Emilia Romagna
13,4,Lando Norris NOR,1:17.935,+1.371s,16,Emilia Romagna
14,5,Sebastian Vettel VET,1:17.984,+1.420s,23,Emilia Romagna
15,99,Antonio Giovinazzi GIO,1:18.058,+1.494s,24,Emilia Romagna
16,11,Sergio Perez PER,1:18.228,+1.664s,15,Emilia Romagna
17,31,Esteban Ocon OCO,1:18.360,+1.796s,20,Emilia Romagna
18,9,Nikita Mazepin MAZ,1:18.823,+2.259s,22,Emilia Romagna
19,47,Mick Schumacher MSC,1:19.480,+2.916s,18,Emilia Romagna
20,22,Yuki Tsunoda TSU,1:19.781,+3.217s,11,Emilia Romagna
