Pos,No.,Driver,Car,Time,GP
1,44,Lewis Hamilton HAM,Mercedes,1:14.411,Emilia Romagna
2,11,Sergio Perez PER,Red Bull Racing Honda,1:14.446,Emilia Romagna
3,33,Max Verstappen VER,Red Bull Racing Honda,1:14.498,Emilia Romagna
4,16,Charles Leclerc LEC,Ferrari,1:14.740,Emilia Romagna
5,10,Pierre Gasly GAS,AlphaTauri Honda,1:14.790,Emilia Romagna
6,3,Daniel Ricciardo RIC,McLaren Mercedes,1:14.826,Emilia Romagna
7,4,Lando Norris NOR,McLaren Mercedes,1:14.875,Emilia Romagna
8,77,Valtteri Bottas BOT,Mercedes,1:14.898,Emilia Romagna
9,31,Esteban Ocon OCO,Alpine Renault,1:15.210,Emilia Romagna
10,18,Lance Stroll STR,Aston Martin Mercedes,,Emilia Romagna
11,55,Carlos Sainz SAI,Ferrari,1:15.199,Emilia Romagna
12,63,George Russell RUS,Williams Mercedes,1:15.261,Emilia Romagna
13,5,Sebastian Vettel VET,Aston Martin Mercedes,1:15.394,Emilia Romagna
14,6,Nicholas Latifi LAT,Williams Mercedes,1:15.593,Emilia Romagna
15,14,Fernando Alonso ALO,Alpine Renault,1:15.593,Emilia Romagna
16,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:15.974,Emilia Romagna
17,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:16.122,Emilia Romagna
18,47,Mick Schumacher MSC,Haas Ferrari,1:16.279,Emilia Romagna
19,9,Nikita Mazepin MAZ,Haas Ferrari,1:16.797,Emilia Romagna
20,22,Yuki Tsunoda TSU,AlphaTauri Honda,,Emilia Romagna
"Note - Tsunoda failed to set a qualifying time within the Q1 107% requirement, so races at stewards' discretion. Penalised five places for an unscheduled gearbox change and required to start from the back of the grid for use of additional power unit elements."
