Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,77,Valtteri Bottas BOT,Mercedes,65,16:36:46,1:19.865,209.738,Portugal
2,11,Sergio Perez PER,Red Bull Racing Honda,55,16:23:11,1:20.643,207.715,Portugal
3,33,Max Verstappen VER,Red Bull Racing Honda,62,16:32:12,1:20.695,207.581,Portugal
4,44,Lewis Hamilton HAM,Mercedes,47,16:11:48,1:20.933,206.971,Portugal
5,14,Fernando Alonso ALO,Alpine Renault,66,16:38:39,1:21.032,206.718,Portugal
6,16,Charles Leclerc LEC,Ferrari,63,16:34:21,1:21.496,205.541,Portugal
7,4,Lando Norris NOR,McLaren Mercedes,55,16:23:24,1:21.696,205.038,Portugal
8,31,Esteban Ocon OCO,Alpine Renault,34,15:54:39,1:21.886,204.562,Portugal
9,18,Lance Stroll STR,Aston Martin Mercedes,59,16:29:21,1:21.970,204.352,Portugal
10,3,Daniel Ricciardo RIC,McLaren Mercedes,64,16:36:04,1:21.987,204.310,Portugal
11,10,Pierre Gasly GAS,AlphaTauri Honda,65,16:37:28,1:22.014,204.243,Portugal
12,22,Yuki Tsunoda TSU,AlphaTauri Honda,61,16:32:29,1:22.058,204.133,Portugal
13,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,60,16:30:42,1:22.167,203.862,Portugal
14,55,Carlos Sainz SAI,Ferrari,60,16:30:33,1:22.325,203.471,Portugal
15,5,Sebastian Vettel VET,Aston Martin Mercedes,60,16:30:44,1:22.416,203.246,Portugal
16,63,George Russell RUS,Williams Mercedes,60,16:31:42,1:22.654,202.661,Portugal
17,47,Mick Schumacher MSC,Haas Ferrari,61,16:33:25,1:22.755,202.414,Portugal
18,6,Nicholas Latifi LAT,Williams Mercedes,60,16:32:01,1:23.155,201.440,Portugal
19,9,Nikita Mazepin MAZ,Haas Ferrari,64,16:38:44,1:23.641,200.270,Portugal
