Pos,No.,Driver,Time,Gap,Laps,GP
1,44,Lewis Hamilton HAM,1:19.837,,33,Portugal
2,33,Max Verstappen VER,1:19.980,+0.143s,26,Portugal
3,77,Valtteri Bottas BOT,1:20.181,+0.344s,28,Portugal
4,55,Carlos Sainz SAI,1:20.197,+0.360s,33,Portugal
5,14,Fernando Alonso ALO,1:20.220,+0.383s,32,Portugal
6,31,Esteban Ocon OCO,1:20.235,+0.398s,31,Portugal
7,16,Charles Leclerc LEC,1:20.360,+0.523s,33,Portugal
8,3,Daniel Ricciardo RIC,1:20.418,+0.581s,31,Portugal
9,18,Lance Stroll STR,1:20.427,+0.590s,31,Portugal
10,11,Sergio Perez PER,1:20.516,+0.679s,28,Portugal
11,10,Pierre Gasly GAS,1:20.558,+0.721s,34,Portugal
12,4,Lando Norris NOR,1:20.757,+0.920s,28,Portugal
13,63,George Russell RUS,1:20.976,+1.139s,32,Portugal
14,22,Yuki Tsunoda TSU,1:21.053,+1.216s,33,Portugal
15,5,Sebastian Vettel VET,1:21.074,+1.237s,32,Portugal
16,7,Kimi Räikkönen RAI,1:21.225,+1.388s,22,Portugal
17,99,Antonio Giovinazzi GIO,1:21.238,+1.401s,32,Portugal
18,47,Mick Schumacher MSC,1:21.537,+1.700s,29,Portugal
19,6,Nicholas Latifi LAT,1:21.855,+2.018s,31,Portugal
20,9,Nikita Mazepin MAZ,1:22.638,+2.801s,28,Portugal
