Pos,No.,Driver,Car,Time,GP
1,77,Valtteri Bottas BOT,Mercedes,1:18.348,Portugal
2,44,Lewis Hamilton HAM,Mercedes,1:18.355,Portugal
3,33,Max Verstappen VER,Red Bull Racing Honda,1:18.746,Portugal
4,11,Sergio Perez PER,Red Bull Racing Honda,1:18.890,Portugal
5,55,Carlos Sainz SAI,Ferrari,1:19.039,Portugal
6,31,Esteban Ocon OCO,Alpine Renault,1:19.042,Portugal
7,4,Lando Norris NOR,McLaren Mercedes,1:19.116,Portugal
8,16,Charles Leclerc LEC,Ferrari,1:19.306,Portugal
9,10,Pierre Gasly GAS,AlphaTauri Honda,1:19.475,Portugal
10,5,Sebastian Vettel VET,Aston Martin Mercedes,1:19.659,Portugal
11,63,George Russell RUS,Williams Mercedes,1:19.109,Portugal
12,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:19.216,Portugal
13,14,Fernando Alonso ALO,Alpine Renault,1:19.456,Portugal
14,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:19.463,Portugal
15,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:19.812,Portugal
16,3,Daniel Ricciardo RIC,McLaren Mercedes,1:19.839,Portugal
17,18,Lance Stroll STR,Aston Martin Mercedes,1:19.913,Portugal
18,6,Nicholas Latifi LAT,Williams Mercedes,1:20.285,Portugal
19,47,Mick Schumacher MSC,Haas Ferrari,1:20.452,Portugal
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:20.912,Portugal
""
