Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,62,16:31:20,1:18.149,215.357,Spain
2,77,Valtteri Bottas BOT,Mercedes,65,16:35:31,1:19.430,211.884,Spain
3,11,Sergio Perez PER,Red Bull Racing Honda,60,16:29:21,1:19.483,211.743,Spain
4,16,Charles Leclerc LEC,Ferrari,64,16:34:34,1:20.459,209.174,Spain
5,44,Lewis Hamilton HAM,Mercedes,54,16:20:08,1:20.665,208.640,Spain
6,14,Fernando Alonso ALO,Alpine Renault,63,16:34:51,1:21.182,207.311,Spain
7,4,Lando Norris NOR,McLaren Mercedes,56,16:24:24,1:21.279,207.064,Spain
8,10,Pierre Gasly GAS,AlphaTauri Honda,64,16:35:40,1:21.375,206.820,Spain
9,55,Carlos Sainz SAI,Ferrari,53,16:19:52,1:21.568,206.330,Spain
10,3,Daniel Ricciardo RIC,McLaren Mercedes,60,16:29:25,1:21.853,205.612,Spain
11,18,Lance Stroll STR,Aston Martin Mercedes,47,16:11:57,1:22.607,203.735,Spain
12,47,Mick Schumacher MSC,Haas Ferrari,54,16:22:27,1:22.637,203.661,Spain
13,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,42,16:05:25,1:22.802,203.255,Spain
14,5,Sebastian Vettel VET,Aston Martin Mercedes,56,16:24:35,1:22.820,203.211,Spain
15,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,54,16:21:46,1:22.868,203.094,Spain
16,6,Nicholas Latifi LAT,Williams Mercedes,57,16:26:23,1:22.905,203.003,Spain
17,63,George Russell RUS,Williams Mercedes,30,15:47:59,1:23.208,202.264,Spain
18,31,Esteban Ocon OCO,Alpine Renault,46,16:10:05,1:23.311,202.014,Spain
19,9,Nikita Mazepin MAZ,Haas Ferrari,45,16:10:14,1:24.040,200.261,Spain
20,22,Yuki Tsunoda TSU,AlphaTauri Honda,5,15:10:42,1:24.825,198.408,Spain
