Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:17.835,,11,Spain
2,44,Lewis Hamilton HAM,1:18.070,+0.235s,14,Spain
3,16,Charles Leclerc LEC,1:18.308,+0.473s,17,Spain
4,55,Carlos Sainz SAI,1:18.410,+0.575s,18,Spain
5,77,Valtteri Bottas BOT,1:18.423,+0.588s,15,Spain
6,4,Lando Norris NOR,1:18.494,+0.659s,14,Spain
7,10,Pierre Gasly GAS,1:18.535,+0.700s,17,Spain
8,3,Daniel Ricciardo RIC,1:18.582,+0.747s,21,Spain
9,7,Kimi Räikkönen RAI,1:18.597,+0.762s,18,Spain
10,11,Sergio Perez PER,1:18.606,+0.771s,16,Spain
11,14,Fernando Alonso ALO,1:18.662,+0.827s,18,Spain
12,22,Yuki Tsunoda TSU,1:18.673,+0.838s,21,Spain
13,31,Esteban Ocon OCO,1:18.700,+0.865s,15,Spain
14,18,Lance Stroll STR,1:18.877,+1.042s,18,Spain
15,63,George Russell RUS,1:19.005,+1.170s,17,Spain
16,99,Antonio Giovinazzi GIO,1:19.214,+1.379s,19,Spain
17,5,Sebastian Vettel VET,1:19.363,+1.528s,18,Spain
18,6,Nicholas Latifi LAT,1:19.392,+1.557s,16,Spain
19,47,Mick Schumacher MSC,1:19.999,+2.164s,17,Spain
20,9,Nikita Mazepin MAZ,1:20.237,+2.402s,15,Spain
