Pos,No.,Driver,Car,Q1,Q2,Q3,Laps,GP
1,44,Lewis Hamilton HAM,Mercedes,1:18.245,1:17.166,1:16.741,19,Spain
2,33,Max Verstappen VER,Red Bull Racing Honda,1:18.090,1:16.922,1:16.777,14,Spain
3,77,Valtteri Bottas BOT,Mercedes,1:18.005,1:17.142,1:16.873,16,Spain
4,16,Charles Leclerc LEC,Ferrari,1:18.041,1:17.717,1:17.510,18,Spain
5,31,Esteban Ocon OCO,Alpine Renault,1:18.281,1:17.743,1:17.580,15,Spain
6,55,Carlos Sainz SAI,Ferrari,1:18.205,1:17.656,1:17.620,15,Spain
7,3,Daniel Ricciardo RIC,McLaren Mercedes,1:18.264,1:17.719,1:17.622,14,Spain
8,11,Sergio Perez PER,Red Bull Racing Honda,1:18.203,1:17.669,1:17.701,17,Spain
9,4,Lando Norris NOR,McLaren Mercedes,1:17.821,1:17.696,1:18.010,17,Spain
10,14,Fernando Alonso ALO,Alpine Renault,1:18.281,1:17.966,1:18.147,17,Spain
11,18,Lance Stroll STR,Aston Martin Mercedes,1:18.241,1:17.974,,12,Spain
12,10,Pierre Gasly GAS,AlphaTauri Honda,1:18.190,1:17.982,,9,Spain
13,5,Sebastian Vettel VET,Aston Martin Mercedes,1:18.289,1:18.079,,12,Spain
14,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:18.549,1:18.356,,12,Spain
15,63,George Russell RUS,Williams Mercedes,1:18.445,1:19.154,,11,Spain
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:18.556,,,6,Spain
17,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:18.917,,,6,Spain
18,47,Mick Schumacher MSC,Haas Ferrari,1:19.117,,,9,Spain
19,6,Nicholas Latifi LAT,Williams Mercedes,1:19.219,,,9,Spain
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:19.807,,,9,Spain
