Pos,No.,Driver,Car,Laps,Time,Pts,GP
1,44,Lewis Hamilton HAM,Mercedes,66,1:33:07.680,25,Spain
2,33,Max Verstappen VER,Red Bull Racing Honda,66,+15.841s,19,Spain
3,77,Valtteri Bottas BOT,Mercedes,66,+26.610s,15,Spain
4,16,Charles Leclerc LEC,Ferrari,66,+54.616s,12,Spain
5,11,Sergio Perez PER,Red Bull Racing Honda,66,+63.671s,10,Spain
6,3,Daniel Ricciardo RIC,McLaren Mercedes,66,+73.768s,8,Spain
7,55,Carlos Sainz SAI,Ferrari,66,+74.670s,6,Spain
8,4,Lando Norris NOR,McLaren Mercedes,65,+1 lap,4,Spain
9,31,Esteban Ocon OCO,Alpine Renault,65,+1 lap,2,Spain
10,10,Pierre Gasly GAS,AlphaTauri Honda,65,+1 lap,1,Spain
11,18,Lance Stroll STR,Aston Martin Mercedes,65,+1 lap,0,Spain
12,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,65,+1 lap,0,Spain
13,5,Sebastian Vettel VET,Aston Martin Mercedes,65,+1 lap,0,Spain
14,63,George Russell RUS,Williams Mercedes,65,+1 lap,0,Spain
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,65,+1 lap,0,Spain
16,6,Nicholas Latifi LAT,Williams Mercedes,65,+1 lap,0,Spain
17,14,Fernando Alonso ALO,Alpine Renault,65,+1 lap,0,Spain
18,47,Mick Schumacher MSC,Haas Ferrari,64,+2 laps,0,Spain
19,9,Nikita Mazepin MAZ,Haas Ferrari,64,+2 laps,0,Spain
NC,22,Yuki Tsunoda TSU,AlphaTauri Honda,6,DNF,0,Spain
