Pos,No.,Driver,Car,Time,GP
1,44,Lewis Hamilton HAM,Mercedes,1:16.741,Spain
2,33,Max Verstappen VER,Red Bull Racing Honda,1:16.777,Spain
3,77,Valtteri Bottas BOT,Mercedes,1:16.873,Spain
4,16,Charles Leclerc LEC,Ferrari,1:17.510,Spain
5,31,Esteban Ocon OCO,Alpine Renault,1:17.580,Spain
6,55,Carlos Sainz SAI,Ferrari,1:17.620,Spain
7,3,Daniel Ricciardo RIC,McLaren Mercedes,1:17.622,Spain
8,11,Sergio Perez PER,Red Bull Racing Honda,1:17.701,Spain
9,4,Lando Norris NOR,McLaren Mercedes,1:18.010,Spain
10,14,Fernando Alonso ALO,Alpine Renault,1:18.147,Spain
11,18,Lance Stroll STR,Aston Martin Mercedes,1:17.974,Spain
12,10,Pierre Gasly GAS,AlphaTauri Honda,1:17.982,Spain
13,5,Sebastian Vettel VET,Aston Martin Mercedes,1:18.079,Spain
14,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:18.356,Spain
15,63,George Russell RUS,Williams Mercedes,1:19.154,Spain
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:18.556,Spain
17,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:18.917,Spain
18,47,Mick Schumacher MSC,Haas Ferrari,1:19.117,Spain
19,6,Nicholas Latifi LAT,Williams Mercedes,1:19.219,Spain
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:19.807,Spain
Note - Mazepin penalised three places for impeding Norris during qualifying.
