Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,44,Lewis Hamilton HAM,Mercedes,69,16:31:41,1:12.909,164.769,Monaco
2,22,Yuki Tsunoda TSU,AlphaTauri Honda,66,16:29:05,1:14.037,162.259,Monaco
3,11,Sergio Perez PER,Red Bull Racing Honda,32,15:44:05,1:14.552,161.138,Monaco
4,3,Daniel Ricciardo RIC,McLaren Mercedes,43,15:59:09,1:14.578,161.082,Monaco
5,55,Carlos Sainz SAI,Ferrari,35,15:48:00,1:14.621,160.989,Monaco
6,33,Max Verstappen VER,Red Bull Racing Honda,58,16:16:44,1:14.649,160.929,Monaco
7,4,Lando Norris NOR,McLaren Mercedes,76,16:39:40,1:14.670,160.883,Monaco
8,18,Lance Stroll STR,Aston Martin Mercedes,74,16:38:08,1:14.674,160.875,Monaco
9,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,55,16:14:27,1:14.971,160.237,Monaco
10,14,Fernando Alonso ALO,Alpine Renault,70,16:33:45,1:15.026,160.120,Monaco
11,5,Sebastian Vettel VET,Aston Martin Mercedes,33,15:45:41,1:15.316,159.503,Monaco
12,31,Esteban Ocon OCO,Alpine Renault,41,15:56:18,1:15.316,159.503,Monaco
13,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,41,15:56:20,1:15.331,159.472,Monaco
14,10,Pierre Gasly GAS,AlphaTauri Honda,71,16:33:55,1:15.412,159.300,Monaco
15,63,George Russell RUS,Williams Mercedes,59,16:20:09,1:15.539,159.033,Monaco
16,6,Nicholas Latifi LAT,Williams Mercedes,66,16:29:03,1:15.573,158.961,Monaco
17,77,Valtteri Bottas BOT,Mercedes,18,15:26:01,1:15.706,158.682,Monaco
18,47,Mick Schumacher MSC,Haas Ferrari,51,16:11:30,1:16.425,157.189,Monaco
19,9,Nikita Mazepin MAZ,Haas Ferrari,64,16:28:16,1:16.866,156.287,Monaco
