Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,44,Lewis Hamilton HAM,Mercedes,29,15:40:07,23.783,23.783,Monaco
1,4,Lando Norris NOR,McLaren Mercedes,30,15:41:20,23.874,23.874,Monaco
1,10,Pierre Gasly GAS,AlphaTauri Honda,30,15:41:23,24.428,24.428,Monaco
1,5,Sebastian Vettel VET,Aston Martin Mercedes,31,15:42:42,24.369,24.369,Monaco
1,63,George Russell RUS,Williams Mercedes,31,15:43:46,23.928,23.928,Monaco
1,55,Carlos Sainz SAI,Ferrari,32,15:43:47,24.150,24.150,Monaco
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,33,15:45:42,24.521,24.521,Monaco
1,33,Max Verstappen VER,Red Bull Racing Honda,34,15:46:10,23.746,23.746,Monaco
1,11,Sergio Perez PER,Red Bull Racing Honda,35,15:47:44,24.548,24.548,Monaco
1,9,Nikita Mazepin MAZ,Haas Ferrari,34,15:48:25,25.202,25.202,Monaco
1,3,Daniel Ricciardo RIC,McLaren Mercedes,36,15:49:52,24.715,24.715,Monaco
1,31,Esteban Ocon OCO,Alpine Renault,37,15:50:48,23.935,23.935,Monaco
1,47,Mick Schumacher MSC,Haas Ferrari,37,15:52:43,24.797,24.797,Monaco
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,43,15:58:41,24.077,24.077,Monaco
1,6,Nicholas Latifi LAT,Williams Mercedes,43,15:59:23,23.703,23.703,Monaco
1,14,Fernando Alonso ALO,Alpine Renault,45,16:01:34,23.803,23.803,Monaco
1,18,Lance Stroll STR,Aston Martin Mercedes,58,16:17:28,23.474,23.474,Monaco
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,64,16:26:09,24.430,24.430,Monaco
2,44,Lewis Hamilton HAM,Mercedes,67,16:28:48,24.244,48.027,Monaco
