Pos,No.,Driver,Time,Gap,Laps,GP
1,16,Charles Leclerc LEC,1:11.684,,30,Monaco
2,55,Carlos Sainz SAI,1:11.796,+0.112s,32,Monaco
3,44,Lewis Hamilton HAM,1:12.074,+0.390s,28,Monaco
4,33,Max Verstappen VER,1:12.081,+0.397s,27,Monaco
5,77,Valtteri Bottas BOT,1:12.107,+0.423s,32,Monaco
6,4,Lando Norris NOR,1:12.379,+0.695s,24,Monaco
7,10,Pierre Gasly GAS,1:12.498,+0.814s,28,Monaco
8,11,Sergio Perez PER,1:12.708,+1.024s,24,Monaco
9,99,Antonio Giovinazzi GIO,1:12.746,+1.062s,28,Monaco
10,5,Sebastian Vettel VET,1:12.982,+1.298s,26,Monaco
11,7,Kimi Räikkönen RAI,1:13.065,+1.381s,31,Monaco
12,14,Fernando Alonso ALO,1:13.175,+1.491s,27,Monaco
13,18,Lance Stroll STR,1:13.195,+1.511s,26,Monaco
14,31,Esteban Ocon OCO,1:13.199,+1.515s,28,Monaco
15,3,Daniel Ricciardo RIC,1:13.257,+1.573s,26,Monaco
16,63,George Russell RUS,1:13.509,+1.825s,32,Monaco
17,6,Nicholas Latifi LAT,1:13.593,+1.909s,31,Monaco
18,9,Nikita Mazepin MAZ,1:14.407,+2.723s,26,Monaco
19,47,Mick Schumacher MSC,1:14.416,+2.732s,25,Monaco
20,22,Yuki Tsunoda TSU,1:14.829,+3.145s,11,Monaco
