Pos,No.,Driver,Car,Laps,Time,Pts,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,78,1:38:56.820,25,Monaco
2,55,Carlos Sainz SAI,Ferrari,78,+8.968s,18,Monaco
3,4,Lando Norris NOR,McLaren Mercedes,78,+19.427s,15,Monaco
4,11,Sergio Perez PER,Red Bull Racing Honda,78,+20.490s,12,Monaco
5,5,Sebastian Vettel VET,Aston Martin Mercedes,78,+52.591s,10,Monaco
6,10,Pierre Gasly GAS,AlphaTauri Honda,78,+53.896s,8,Monaco
7,44,Lewis Hamilton HAM,Mercedes,78,+68.231s,7,Monaco
8,18,Lance Stroll STR,Aston Martin Mercedes,77,+1 lap,4,Monaco
9,31,Esteban Ocon OCO,Alpine Renault,77,+1 lap,2,Monaco
10,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,77,+1 lap,1,Monaco
11,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,77,+1 lap,0,Monaco
12,3,Daniel Ricciardo RIC,McLaren Mercedes,77,+1 lap,0,Monaco
13,14,Fernando Alonso ALO,Alpine Renault,77,+1 lap,0,Monaco
14,63,George Russell RUS,Williams Mercedes,77,+1 lap,0,Monaco
15,6,Nicholas Latifi LAT,Williams Mercedes,77,+1 lap,0,Monaco
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,77,+1 lap,0,Monaco
17,9,Nikita Mazepin MAZ,Haas Ferrari,75,+3 laps,0,Monaco
18,47,Mick Schumacher MSC,Haas Ferrari,75,+3 laps,0,Monaco
NC,77,Valtteri Bottas BOT,Mercedes,29,DNF,0,Monaco
NC,16,Charles Leclerc LEC,Ferrari,0,DNS,0,Monaco
