Pos,No.,Driver,Car,Time,GP
1,16,Charles Leclerc LEC,Ferrari,1:10.346,Monaco
2,33,Max Verstappen VER,Red Bull Racing Honda,1:10.576,Monaco
3,77,Valtteri Bottas BOT,Mercedes,1:10.601,Monaco
4,55,Carlos Sainz SAI,Ferrari,1:10.611,Monaco
5,4,Lando Norris NOR,McLaren Mercedes,1:10.620,Monaco
6,10,Pierre Gasly GAS,AlphaTauri Honda,1:10.900,Monaco
7,44,Lewis Hamilton HAM,Mercedes,1:11.095,Monaco
8,5,Sebastian Vettel VET,Aston Martin Mercedes,1:11.419,Monaco
9,11,Sergio Perez PER,Red Bull Racing Honda,1:11.573,Monaco
10,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:11.779,Monaco
11,31,Esteban Ocon OCO,Alpine Renault,1:11.486,Monaco
12,3,Daniel Ricciardo RIC,McLaren Mercedes,1:11.598,Monaco
13,18,Lance Stroll STR,Aston Martin Mercedes,1:11.600,Monaco
14,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:11.642,Monaco
15,63,George Russell RUS,Williams Mercedes,1:11.830,Monaco
16,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:12.096,Monaco
17,14,Fernando Alonso ALO,Alpine Renault,1:12.205,Monaco
18,6,Nicholas Latifi LAT,Williams Mercedes,1:12.366,Monaco
19,9,Nikita Mazepin MAZ,Haas Ferrari,1:12.958,Monaco
20,47,Mick Schumacher MSC,Haas Ferrari,,Monaco
Note - Schumacher failed to set a time within the Q1 107% requirement - races at stewards' discretion. Penalised five grid places for an unscheduled gearbox change.
