Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,44,17:27:50,1:44.481,206.839,Azerbaijan
2,11,Sergio Perez PER,Red Bull Racing Honda,45,17:29:39,1:44.687,206.432,Azerbaijan
3,44,Lewis Hamilton HAM,Mercedes,43,17:26:10,1:44.769,206.270,Azerbaijan
4,5,Sebastian Vettel VET,Aston Martin Mercedes,41,17:22:43,1:44.890,206.032,Azerbaijan
5,22,Yuki Tsunoda TSU,AlphaTauri Honda,46,17:31:37,1:44.939,205.936,Azerbaijan
6,10,Pierre Gasly GAS,AlphaTauri Honda,44,17:28:02,1:45.220,205.386,Azerbaijan
7,4,Lando Norris NOR,McLaren Mercedes,41,17:22:50,1:45.326,205.180,Azerbaijan
8,16,Charles Leclerc LEC,Ferrari,46,17:31:36,1:45.382,205.071,Azerbaijan
9,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,44,17:28:14,1:45.575,204.696,Azerbaijan
10,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,43,17:26:27,1:45.601,204.645,Azerbaijan
11,14,Fernando Alonso ALO,Alpine Renault,42,17:24:40,1:45.624,204.601,Azerbaijan
12,77,Valtteri Bottas BOT,Mercedes,43,17:26:30,1:45.665,204.521,Azerbaijan
13,55,Carlos Sainz SAI,Ferrari,42,17:24:37,1:45.700,204.454,Azerbaijan
14,3,Daniel Ricciardo RIC,McLaren Mercedes,43,17:26:25,1:45.713,204.428,Azerbaijan
15,63,George Russell RUS,Williams Mercedes,43,17:26:33,1:45.959,203.954,Azerbaijan
16,18,Lance Stroll STR,Aston Martin Mercedes,28,16:54:28,1:46.207,203.478,Azerbaijan
17,6,Nicholas Latifi LAT,Williams Mercedes,42,17:24:51,1:46.608,202.712,Azerbaijan
18,47,Mick Schumacher MSC,Haas Ferrari,41,17:23:06,1:47.624,200.799,Azerbaijan
19,9,Nikita Mazepin MAZ,Haas Ferrari,40,17:22:16,1:47.747,200.569,Azerbaijan
20,31,Esteban Ocon OCO,Alpine Renault,2,16:07:50,1:50.850,194.955,Azerbaijan
