Pos,No.,Driver,Time,Gap,Laps,GP
1,10,Pierre Gasly GAS,1:42.251,,16,Azerbaijan
2,11,Sergio Perez PER,1:42.595,+0.344s,19,Azerbaijan
3,44,Lewis Hamilton HAM,1:42.697,+0.446s,16,Azerbaijan
4,16,Charles Leclerc LEC,1:42.778,+0.527s,16,Azerbaijan
5,55,Carlos Sainz SAI,1:43.006,+0.755s,17,Azerbaijan
6,4,Lando Norris NOR,1:43.011,+0.760s,15,Azerbaijan
7,14,Fernando Alonso ALO,1:43.080,+0.829s,15,Azerbaijan
8,22,Yuki Tsunoda TSU,1:43.244,+0.993s,19,Azerbaijan
9,31,Esteban Ocon OCO,1:43.294,+1.043s,15,Azerbaijan
10,3,Daniel Ricciardo RIC,1:43.557,+1.306s,17,Azerbaijan
11,5,Sebastian Vettel VET,1:43.585,+1.334s,13,Azerbaijan
12,18,Lance Stroll STR,1:43.682,+1.431s,13,Azerbaijan
13,77,Valtteri Bottas BOT,1:43.745,+1.494s,16,Azerbaijan
14,7,Kimi Räikkönen RAI,1:43.826,+1.575s,17,Azerbaijan
15,33,Max Verstappen VER,1:43.984,+1.733s,6,Azerbaijan
16,6,Nicholas Latifi LAT,1:44.054,+1.803s,17,Azerbaijan
17,99,Antonio Giovinazzi GIO,1:44.113,+1.862s,11,Azerbaijan
18,63,George Russell RUS,1:44.434,+2.183s,12,Azerbaijan
19,47,Mick Schumacher MSC,1:45.282,+3.031s,17,Azerbaijan
20,9,Nikita Mazepin MAZ,1:45.711,+3.460s,12,Azerbaijan
