Pos,No.,Driver,Car,Time,GP
1,16,Charles Leclerc LEC,Ferrari,1:41.218,Azerbaijan
2,44,Lewis Hamilton HAM,Mercedes,1:41.450,Azerbaijan
3,33,Max Verstappen VER,Red Bull Racing Honda,1:41.563,Azerbaijan
4,10,Pierre Gasly GAS,AlphaTauri Honda,1:41.565,Azerbaijan
5,55,Carlos Sainz SAI,Ferrari,1:41.576,Azerbaijan
6,11,Sergio Perez PER,Red Bull Racing Honda,1:41.917,Azerbaijan
7,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:42.211,Azerbaijan
8,14,Fernando Alonso ALO,Alpine Renault,1:42.327,Azerbaijan
9,4,Lando Norris NOR,McLaren Mercedes,1:41.747,Azerbaijan
10,77,Valtteri Bottas BOT,Mercedes,1:42.659,Azerbaijan
11,5,Sebastian Vettel VET,Aston Martin Mercedes,1:42.224,Azerbaijan
12,31,Esteban Ocon OCO,Alpine Renault,1:42.273,Azerbaijan
13,3,Daniel Ricciardo RIC,McLaren Mercedes,1:42.558,Azerbaijan
14,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:42.587,Azerbaijan
15,63,George Russell RUS,Williams Mercedes,1:42.758,Azerbaijan
16,6,Nicholas Latifi LAT,Williams Mercedes,1:43.128,Azerbaijan
17,47,Mick Schumacher MSC,Haas Ferrari,1:44.158,Azerbaijan
18,9,Nikita Mazepin MAZ,Haas Ferrari,1:44.238,Azerbaijan
19,18,Lance Stroll STR,Aston Martin Mercedes,,Azerbaijan
20,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,,Azerbaijan
Note - Giovinazzi and Stroll failed to set a time within the Q1 107% requirement - race at stewards' discretion. Norris penalised three grid places for failing to comply with red flags during qualifying.
