Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,16,Charles Leclerc LEC,Ferrari,14,15:26:59,30.798,30.798,France
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,15,15:28:52,30.226,30.226,France
1,47,Mick Schumacher MSC,Haas Ferrari,15,15:29:09,31.457,31.457,France
1,3,Daniel Ricciardo RIC,McLaren Mercedes,16,15:30:21,29.951,29.951,France
1,77,Valtteri Bottas BOT,Mercedes,17,15:31:34,30.572,30.572,France
1,55,Carlos Sainz SAI,Ferrari,17,15:32:00,30.534,30.534,France
1,10,Pierre Gasly GAS,AlphaTauri Honda,17,15:32:01,30.781,30.781,France
1,63,George Russell RUS,Williams Mercedes,17,15:32:17,30.092,30.092,France
1,33,Max Verstappen VER,Red Bull Racing Honda,18,15:33:10,29.803,29.803,France
1,14,Fernando Alonso ALO,Alpine Renault,18,15:33:49,31.288,31.288,France
1,6,Nicholas Latifi LAT,Williams Mercedes,18,15:34:01,29.775,29.775,France
1,44,Lewis Hamilton HAM,Mercedes,19,15:34:46,30.263,30.263,France
1,11,Sergio Perez PER,Red Bull Racing Honda,24,15:43:14,29.682,29.682,France
1,4,Lando Norris NOR,McLaren Mercedes,24,15:43:44,30.531,30.531,France
1,31,Esteban Ocon OCO,Alpine Renault,28,15:50:47,30.207,30.207,France
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,28,15:50:48,30.586,30.586,France
1,9,Nikita Mazepin MAZ,Haas Ferrari,31,15:56:17,30.983,30.983,France
2,33,Max Verstappen VER,Red Bull Racing Honda,32,15:56:20,30.123,59.926,France
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,33,15:59:18,31.327,31.327,France
1,18,Lance Stroll STR,Aston Martin Mercedes,34,16:00:37,30.996,30.996,France
1,5,Sebastian Vettel VET,Aston Martin Mercedes,37,16:05:29,31.069,31.069,France
2,16,Charles Leclerc LEC,Ferrari,38,16:07:29,31.368,1:02.166,France
