Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:32.872,,21,France
2,77,Valtteri Bottas BOT,1:32.880,+0.008s,27,France
3,44,Lewis Hamilton HAM,1:33.125,+0.253s,23,France
4,14,Fernando Alonso ALO,1:33.340,+0.468s,25,France
5,16,Charles Leclerc LEC,1:33.550,+0.678s,23,France
6,31,Esteban Ocon OCO,1:33.685,+0.813s,23,France
7,10,Pierre Gasly GAS,1:33.696,+0.824s,25,France
8,55,Carlos Sainz SAI,1:33.698,+0.826s,24,France
9,7,Kimi Räikkönen RAI,1:33.786,+0.914s,26,France
10,4,Lando Norris NOR,1:33.822,+0.950s,24,France
11,99,Antonio Giovinazzi GIO,1:33.831,+0.959s,23,France
12,11,Sergio Perez PER,1:33.921,+1.049s,24,France
13,22,Yuki Tsunoda TSU,1:33.955,+1.083s,25,France
14,3,Daniel Ricciardo RIC,1:34.079,+1.207s,24,France
15,5,Sebastian Vettel VET,1:34.447,+1.575s,25,France
16,18,Lance Stroll STR,1:34.632,+1.760s,24,France
17,63,George Russell RUS,1:35.266,+2.394s,25,France
18,6,Nicholas Latifi LAT,1:35.331,+2.459s,25,France
19,47,Mick Schumacher MSC,1:35.512,+2.640s,24,France
20,9,Nikita Mazepin MAZ,1:35.551,+2.679s,23,France
