Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,44,Lewis Hamilton HAM,Mercedes,71,16:26:00,1:07.058,231.811,Styria
2,11,Sergio Perez PER,Red Bull Racing Honda,57,16:10:10,1:07.894,228.956,Styria
3,33,Max Verstappen VER,Red Bull Racing Honda,68,16:21:55,1:08.017,228.542,Styria
4,55,Carlos Sainz SAI,Ferrari,64,16:18:42,1:08.609,226.570,Styria
5,77,Valtteri Bottas BOT,Mercedes,43,15:53:42,1:08.619,226.537,Styria
6,16,Charles Leclerc LEC,Ferrari,64,16:18:55,1:08.738,226.145,Styria
7,4,Lando Norris NOR,McLaren Mercedes,65,16:19:43,1:08.903,225.604,Styria
8,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,57,16:11:00,1:09.128,224.869,Styria
9,3,Daniel Ricciardo RIC,McLaren Mercedes,45,15:57:05,1:09.305,224.295,Styria
10,31,Esteban Ocon OCO,Alpine Renault,70,16:26:16,1:09.576,223.421,Styria
11,22,Yuki Tsunoda TSU,AlphaTauri Honda,41,15:52:10,1:09.650,223.184,Styria
12,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,39,15:49:58,1:09.723,222.950,Styria
13,14,Fernando Alonso ALO,Alpine Renault,61,16:15:34,1:09.749,222.867,Styria
14,18,Lance Stroll STR,Aston Martin Mercedes,32,15:41:35,1:09.787,222.746,Styria
15,5,Sebastian Vettel VET,Aston Martin Mercedes,64,16:19:08,1:09.821,222.637,Styria
16,47,Mick Schumacher MSC,Haas Ferrari,57,16:11:56,1:10.005,222.052,Styria
17,6,Nicholas Latifi LAT,Williams Mercedes,34,15:45:13,1:10.104,221.739,Styria
18,63,George Russell RUS,Williams Mercedes,28,15:37:55,1:10.499,220.496,Styria
19,9,Nikita Mazepin MAZ,Haas Ferrari,39,15:50:34,1:10.951,219.092,Styria
