Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,16,Charles Leclerc LEC,Ferrari,1,15:04:22,28.386,28.386,Styria
1,6,Nicholas Latifi LAT,Williams Mercedes,1,15:04:58,26.419,26.419,Styria
1,9,Nikita Mazepin MAZ,Haas Ferrari,21,15:28:40,22.759,22.759,Styria
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,23,15:30:50,21.210,21.210,Styria
1,63,George Russell RUS,Williams Mercedes,25,15:33:03,37.309,37.309,Styria
1,11,Sergio Perez PER,Red Bull Racing Honda,26,15:33:46,23.477,23.477,Styria
2,6,Nicholas Latifi LAT,Williams Mercedes,25,15:34:10,21.953,48.372,Styria
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,26,15:34:15,21.234,21.234,Styria
2,63,George Russell RUS,Williams Mercedes,26,15:34:49,46.315,1:23.624,Styria
1,77,Valtteri Bottas BOT,Mercedes,27,15:34:56,21.752,21.752,Styria
1,14,Fernando Alonso ALO,Alpine Renault,27,15:35:25,21.131,21.131,Styria
1,5,Sebastian Vettel VET,Aston Martin Mercedes,27,15:35:28,21.546,21.546,Styria
1,44,Lewis Hamilton HAM,Mercedes,28,15:35:48,21.219,21.219,Styria
1,18,Lance Stroll STR,Aston Martin Mercedes,28,15:36:35,20.936,20.936,Styria
1,33,Max Verstappen VER,Red Bull Racing Honda,29,15:36:53,20.936,20.936,Styria
1,4,Lando Norris NOR,McLaren Mercedes,31,15:39:53,21.692,21.692,Styria
1,47,Mick Schumacher MSC,Haas Ferrari,33,15:43:09,22.400,22.400,Styria
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,36,15:46:10,21.227,21.227,Styria
1,31,Esteban Ocon OCO,Alpine Renault,36,15:46:14,21.238,21.238,Styria
2,16,Charles Leclerc LEC,Ferrari,37,15:47:22,21.924,50.310,Styria
1,55,Carlos Sainz SAI,Ferrari,41,15:51:48,21.226,21.226,Styria
1,3,Daniel Ricciardo RIC,McLaren Mercedes,41,15:52:04,21.410,21.410,Styria
2,11,Sergio Perez PER,Red Bull Racing Honda,54,16:06:26,20.961,44.438,Styria
2,44,Lewis Hamilton HAM,Mercedes,69,16:23:22,21.640,42.859,Styria
