Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:05.412,,37,Styria
2,3,Daniel Ricciardo RIC,1:05.748,+0.336s,35,Styria
3,31,Esteban Ocon OCO,1:05.790,+0.378s,35,Styria
4,44,Lewis Hamilton HAM,1:05.796,+0.384s,35,Styria
5,14,Fernando Alonso ALO,1:05.827,+0.415s,39,Styria
6,5,Sebastian Vettel VET,1:05.934,+0.522s,38,Styria
7,4,Lando Norris NOR,1:05.994,+0.582s,39,Styria
8,18,Lance Stroll STR,1:06.079,+0.667s,36,Styria
9,11,Sergio Perez PER,1:06.089,+0.677s,36,Styria
10,99,Antonio Giovinazzi GIO,1:06.145,+0.733s,37,Styria
11,55,Carlos Sainz SAI,1:06.147,+0.735s,39,Styria
12,77,Valtteri Bottas BOT,1:06.251,+0.839s,32,Styria
13,16,Charles Leclerc LEC,1:06.270,+0.858s,39,Styria
14,7,Kimi Räikkönen RAI,1:06.297,+0.885s,41,Styria
15,22,Yuki Tsunoda TSU,1:06.451,+1.039s,39,Styria
16,63,George Russell RUS,1:06.628,+1.216s,39,Styria
17,47,Mick Schumacher MSC,1:06.886,+1.474s,29,Styria
18,9,Nikita Mazepin MAZ,1:07.404,+1.992s,30,Styria
19,6,Nicholas Latifi LAT,1:07.669,+2.257s,32,Styria
