Pos,No.,Driver,Car,Q1,Q2,Q3,Laps,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:04.489,1:04.433,1:03.841,20,Styria
2,77,Valtteri Bottas BOT,Mercedes,1:04.537,1:04.443,1:04.035,23,Styria
3,44,Lewis Hamilton HAM,Mercedes,1:04.672,1:04.512,1:04.067,25,Styria
4,4,Lando Norris NOR,McLaren Mercedes,1:04.584,1:04.298,1:04.120,17,Styria
5,11,Sergio Perez PER,Red Bull Racing Honda,1:04.638,1:04.197,1:04.168,21,Styria
6,10,Pierre Gasly GAS,AlphaTauri Honda,1:04.765,1:04.429,1:04.236,18,Styria
7,16,Charles Leclerc LEC,Ferrari,1:04.745,1:04.646,1:04.472,21,Styria
8,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:04.608,1:04.631,1:04.514,21,Styria
9,14,Fernando Alonso ALO,Alpine Renault,1:04.971,1:04.582,1:04.574,18,Styria
10,18,Lance Stroll STR,Aston Martin Mercedes,1:04.821,1:04.663,1:04.708,18,Styria
11,63,George Russell RUS,Williams Mercedes,1:05.033,1:04.671,,14,Styria
12,55,Carlos Sainz SAI,Ferrari,1:04.859,1:04.800,,15,Styria
13,3,Daniel Ricciardo RIC,McLaren Mercedes,1:05.142,1:04.808,,14,Styria
14,5,Sebastian Vettel VET,Aston Martin Mercedes,1:05.051,1:04.875,,15,Styria
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:05.092,1:04.913,,17,Styria
16,6,Nicholas Latifi LAT,Williams Mercedes,1:05.175,,,9,Styria
17,31,Esteban Ocon OCO,Alpine Renault,1:05.217,,,6,Styria
18,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:05.429,,,8,Styria
19,47,Mick Schumacher MSC,Haas Ferrari,1:06.041,,,8,Styria
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:06.192,,,9,Styria
