Pos,No.,Driver,Car,Laps,Time,Pts,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,71,1:22:18.925,25,Styria
2,44,Lewis Hamilton HAM,Mercedes,71,+35.743s,19,Styria
3,77,Valtteri Bottas BOT,Mercedes,71,+46.907s,15,Styria
4,11,Sergio Perez PER,Red Bull Racing Honda,71,+47.434s,12,Styria
5,4,Lando Norris NOR,McLaren Mercedes,70,+1 lap,10,Styria
6,55,Carlos Sainz SAI,Ferrari,70,+1 lap,8,Styria
7,16,Charles Leclerc LEC,Ferrari,70,+1 lap,6,Styria
8,18,Lance Stroll STR,Aston Martin Mercedes,70,+1 lap,4,Styria
9,14,Fernando Alonso ALO,Alpine Renault,70,+1 lap,2,Styria
10,22,Yuki Tsunoda TSU,AlphaTauri Honda,70,+1 lap,1,Styria
11,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,70,+1 lap,0,Styria
12,5,Sebastian Vettel VET,Aston Martin Mercedes,70,+1 lap,0,Styria
13,3,Daniel Ricciardo RIC,McLaren Mercedes,70,+1 lap,0,Styria
14,31,Esteban Ocon OCO,Alpine Renault,70,+1 lap,0,Styria
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,70,+1 lap,0,Styria
16,47,Mick Schumacher MSC,Haas Ferrari,69,+2 laps,0,Styria
17,6,Nicholas Latifi LAT,Williams Mercedes,68,+3 laps,0,Styria
18,9,Nikita Mazepin MAZ,Haas Ferrari,68,+3 laps,0,Styria
NC,63,George Russell RUS,Williams Mercedes,36,DNF,0,Styria
NC,10,Pierre Gasly GAS,AlphaTauri Honda,1,DNF,0,Styria
