Pos,No.,Driver,Car,Time,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:03.841,Styria
2,44,Lewis Hamilton HAM,Mercedes,1:04.067,Styria
3,4,Lando Norris NOR,McLaren Mercedes,1:04.120,Styria
4,11,Sergio Perez PER,Red Bull Racing Honda,1:04.168,Styria
5,77,Valtteri Bottas BOT,Mercedes,1:04.035,Styria
6,10,Pierre Gasly GAS,AlphaTauri Honda,1:04.236,Styria
7,16,Charles Leclerc LEC,Ferrari,1:04.472,Styria
8,14,Fernando Alonso ALO,Alpine Renault,1:04.574,Styria
9,18,Lance Stroll STR,Aston Martin Mercedes,1:04.708,Styria
10,63,George Russell RUS,Williams Mercedes,1:04.671,Styria
11,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:04.514,Styria
12,55,Carlos Sainz SAI,Ferrari,1:04.800,Styria
13,3,Daniel Ricciardo RIC,McLaren Mercedes,1:04.808,Styria
14,5,Sebastian Vettel VET,Aston Martin Mercedes,1:04.875,Styria
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:04.913,Styria
16,6,Nicholas Latifi LAT,Williams Mercedes,1:05.175,Styria
17,31,Esteban Ocon OCO,Alpine Renault,1:05.217,Styria
18,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:05.429,Styria
19,47,Mick Schumacher MSC,Haas Ferrari,1:06.041,Styria
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:06.192,Styria
Note - Bottas penalised three grid places for dangerous driving in the pit lane during practice. Tsunoda penalised three grid places for impeding Bottas during qualifying.
