Pos,No.,Driver,Car,Lap,TOD,Time,AVGSpeed,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,62,16:16:38,1:06.200,234.815,Austria
2,55,Carlos Sainz SAI,Ferrari,70,16:26:38,1:07.762,229.402,Austria
3,44,Lewis Hamilton HAM,Mercedes,55,16:09:09,1:08.126,228.177,Austria
4,10,Pierre Gasly GAS,AlphaTauri Honda,54,16:08:26,1:08.146,228.110,Austria
5,11,Sergio Perez PER,Red Bull Racing Honda,55,16:09:20,1:08.192,227.956,Austria
6,77,Valtteri Bottas BOT,Mercedes,52,16:05:20,1:08.374,227.349,Austria
7,14,Fernando Alonso ALO,Alpine Renault,70,16:27:01,1:08.405,227.246,Austria
8,5,Sebastian Vettel VET,Aston Martin Mercedes,51,16:05:16,1:08.420,227.196,Austria
9,22,Yuki Tsunoda TSU,AlphaTauri Honda,54,16:08:50,1:08.455,227.080,Austria
10,4,Lando Norris NOR,McLaren Mercedes,62,16:16:49,1:08.471,227.027,Austria
11,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,62,16:17:50,1:08.520,226.865,Austria
12,18,Lance Stroll STR,Aston Martin Mercedes,54,16:08:53,1:08.659,226.405,Austria
13,16,Charles Leclerc LEC,Ferrari,55,16:09:23,1:08.698,226.277,Austria
14,3,Daniel Ricciardo RIC,McLaren Mercedes,56,16:10:31,1:08.820,225.876,Austria
15,6,Nicholas Latifi LAT,Williams Mercedes,69,16:26:23,1:08.874,225.699,Austria
16,63,George Russell RUS,Williams Mercedes,56,16:10:49,1:08.900,225.613,Austria
17,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,55,16:10:06,1:09.042,225.149,Austria
18,47,Mick Schumacher MSC,Haas Ferrari,56,16:11:32,1:09.394,224.007,Austria
19,9,Nikita Mazepin MAZ,Haas Ferrari,49,16:04:03,1:09.757,222.842,Austria
