Stops,No.,Driver,Car,Lap,TOD,Time,Total,GP
1,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1,15:04:39,21.129,21.129,Austria
1,22,Yuki Tsunoda TSU,AlphaTauri Honda,12,15:18:55,21.145,21.145,Austria
1,10,Pierre Gasly GAS,AlphaTauri Honda,13,15:20:04,22.564,22.564,Austria
1,18,Lance Stroll STR,Aston Martin Mercedes,14,15:21:20,21.391,21.391,Austria
1,5,Sebastian Vettel VET,Aston Martin Mercedes,17,15:24:54,21.086,21.086,Austria
1,9,Nikita Mazepin MAZ,Haas Ferrari,27,15:37:15,22.000,22.000,Austria
1,3,Daniel Ricciardo RIC,McLaren Mercedes,29,15:38:55,21.151,21.151,Austria
2,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,29,15:39:18,27.122,48.251,Austria
1,4,Lando Norris NOR,McLaren Mercedes,30,15:39:39,26.474,26.474,Austria
1,77,Valtteri Bottas BOT,Mercedes,30,15:39:41,21.071,21.071,Austria
1,63,George Russell RUS,Williams Mercedes,30,15:40:16,21.606,21.606,Austria
1,44,Lewis Hamilton HAM,Mercedes,31,15:40:45,21.005,21.005,Austria
1,33,Max Verstappen VER,Red Bull Racing Honda,32,15:41:42,21.090,21.090,Austria
1,11,Sergio Perez PER,Red Bull Racing Honda,32,15:42:28,21.735,21.735,Austria
1,14,Fernando Alonso ALO,Alpine Renault,32,15:42:41,22.663,22.663,Austria
1,6,Nicholas Latifi LAT,Williams Mercedes,33,15:44:01,21.152,21.152,Austria
1,16,Charles Leclerc LEC,Ferrari,34,15:44:47,21.143,21.143,Austria
1,47,Mick Schumacher MSC,Haas Ferrari,34,15:45:26,21.798,21.798,Austria
1,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,37,15:48:30,21.896,21.896,Austria
2,10,Pierre Gasly GAS,AlphaTauri Honda,45,15:57:48,20.850,43.414,Austria
2,9,Nikita Mazepin MAZ,Haas Ferrari,45,15:58:58,23.182,45.182,Austria
2,18,Lance Stroll STR,Aston Martin Mercedes,46,15:59:19,21.472,42.863,Austria
1,55,Carlos Sainz SAI,Ferrari,48,16:01:07,21.431,21.431,Austria
2,5,Sebastian Vettel VET,Aston Martin Mercedes,49,16:02:39,20.841,41.927,Austria
2,22,Yuki Tsunoda TSU,AlphaTauri Honda,51,16:04:57,26.604,47.749,Austria
2,44,Lewis Hamilton HAM,Mercedes,53,16:06:32,21.421,42.426,Austria
2,33,Max Verstappen VER,Red Bull Racing Honda,60,16:14:03,21.236,42.326,Austria
