Pos,No.,Driver,Time,Gap,Laps,GP
1,33,Max Verstappen VER,1:04.591,,15,Austria
2,77,Valtteri Bottas BOT,1:05.129,+0.538s,22,Austria
3,44,Lewis Hamilton HAM,1:05.277,+0.686s,20,Austria
4,10,Pierre Gasly GAS,1:05.280,+0.689s,27,Austria
5,99,Antonio Giovinazzi GIO,1:05.345,+0.754s,27,Austria
6,55,Carlos Sainz SAI,1:05.347,+0.756s,29,Austria
7,11,Sergio Perez PER,1:05.396,+0.805s,20,Austria
8,14,Fernando Alonso ALO,1:05.434,+0.843s,23,Austria
9,16,Charles Leclerc LEC,1:05.484,+0.893s,35,Austria
10,5,Sebastian Vettel VET,1:05.542,+0.951s,22,Austria
11,18,Lance Stroll STR,1:05.546,+0.955s,19,Austria
12,22,Yuki Tsunoda TSU,1:05.561,+0.970s,23,Austria
13,31,Esteban Ocon OCO,1:05.674,+1.083s,22,Austria
14,63,George Russell RUS,1:05.694,+1.103s,23,Austria
15,4,Lando Norris NOR,1:05.700,+1.109s,23,Austria
16,3,Daniel Ricciardo RIC,1:05.725,+1.134s,21,Austria
17,7,Kimi Räikkönen RAI,1:05.747,+1.156s,31,Austria
18,47,Mick Schumacher MSC,1:06.078,+1.487s,26,Austria
19,6,Nicholas Latifi LAT,1:06.105,+1.514s,17,Austria
20,9,Nikita Mazepin MAZ,1:06.289,+1.698s,28,Austria
