Pos,No.,Driver,Car,Time,GP
1,33,Max Verstappen VER,Red Bull Racing Honda,1:03.720,Austria
2,4,Lando Norris NOR,McLaren Mercedes,1:03.768,Austria
3,11,Sergio Perez PER,Red Bull Racing Honda,1:03.990,Austria
4,44,Lewis Hamilton HAM,Mercedes,1:04.014,Austria
5,77,Valtteri Bottas BOT,Mercedes,1:04.049,Austria
6,10,Pierre Gasly GAS,AlphaTauri Honda,1:04.107,Austria
7,22,Yuki Tsunoda TSU,AlphaTauri Honda,1:04.273,Austria
8,63,George Russell RUS,Williams Mercedes,1:04.591,Austria
9,18,Lance Stroll STR,Aston Martin Mercedes,1:04.618,Austria
10,55,Carlos Sainz SAI,Ferrari,1:04.559,Austria
11,5,Sebastian Vettel VET,Aston Martin Mercedes,1:04.570,Austria
12,16,Charles Leclerc LEC,Ferrari,1:04.600,Austria
13,3,Daniel Ricciardo RIC,McLaren Mercedes,1:04.719,Austria
14,14,Fernando Alonso ALO,Alpine Renault,1:04.856,Austria
15,99,Antonio Giovinazzi GIO,Alfa Romeo Racing Ferrari,1:05.083,Austria
16,7,Kimi Räikkönen RAI,Alfa Romeo Racing Ferrari,1:05.009,Austria
17,31,Esteban Ocon OCO,Alpine Renault,1:05.051,Austria
18,6,Nicholas Latifi LAT,Williams Mercedes,1:05.195,Austria
19,47,Mick Schumacher MSC,Haas Ferrari,1:05.427,Austria
20,9,Nikita Mazepin MAZ,Haas Ferrari,1:05.951,Austria
Note - Vettel penalised three grid places for impeding Alonso during qualifying.
