Name,Surname,Abbreviation,No.,Car
Lewis,Hamilton,HAM,44,Mercedes
Max,Verstappen,VER,33,Red Bull Racing Honda
Valtteri,Bottas,BOT,77,Mercedes
Lando,Norris,NOR,4,McLaren Mercedes
Sergio,Perez,PER,11,Red Bull Racing Honda
Charles,Leclerc,LEC,16,Ferrari
Daniel,Ricciardo,RIC,3,McLaren Mercedes
Carlos,Sainz,SAI,55,Ferrari
Yuki,Tsunoda,TSU,22,AlphaTauri Honda
Lance,Stroll,STR,18,Aston Martin Mercedes
Kimi,Räikkönen,RAI,7,Alfa Romeo Racing Ferrari
Antonio,Giovinazzi,GIO,99,Alfa Romeo Racing Ferrari
Esteban,Ocon,OCO,31,Alpine Renault
George,Russell,RUS,63,Williams Mercedes
Sebastian,Vettel,VET,5,Aston Martin Mercedes
Mick,Schumacher,MSC,47,Haas Ferrari
Pierre,Gasly,GAS,10,AlphaTauri Honda
Nicholas,Latifi,LAT,6,Williams Mercedes
Fernando,Alonso,ALO,14,Alpine Renault
Nikita,Mazepin,MAZ,9,Haas Ferrari
