Pos,Driver,Nat,Car,Pts
1,Max Verstappen VER,NED,Red Bull Racing Honda,156
2,Lewis Hamilton HAM,GBR,Mercedes,138
3,Sergio Perez PER,MEX,Red Bull Racing Honda,96
4,Lando Norris NOR,GBR,McLaren Mercedes,86
5,Valtteri Bottas BOT,FIN,Mercedes,74
6,Charles Leclerc LEC,MON,Ferrari,58
7,Carlos Sainz SAI,ESP,Ferrari,50
8,Pierre Gasly GAS,FRA,AlphaTauri Honda,37
9,Daniel Ricciardo RIC,AUS,McLaren Mercedes,34
10,Sebastian Vettel VET,GER,Aston Martin Mercedes,30
11,Fernando Alonso ALO,ESP,Alpine Renault,19
12,Lance Stroll STR,CAN,Aston Martin Mercedes,14
13,Esteban Ocon OCO,FRA,Alpine Renault,12
14,Yuki Tsunoda TSU,JPN,AlphaTauri Honda,9
15,Kimi Räikkönen RAI,FIN,Alfa Romeo Racing Ferrari,1
16,Antonio Giovinazzi GIO,ITA,Alfa Romeo Racing Ferrari,1
17,George Russell RUS,GBR,Williams Mercedes,0
18,Mick Schumacher MSC,GER,Haas Ferrari,0
19,Nikita Mazepin MAZ,RAF,Haas Ferrari,0
20,Nicholas Latifi LAT,CAN,Williams Mercedes,0
